,pv
178,233930997.3508677
179,677484667.4998649
180,156486661.80790418
181,648493405.897797
182,184333975.7711827
183,145146628.41936234
184,127980919.17494176
185,428860749.530251
186,271492549.83266914
187,191897474.14467365
188,324090327.5226314
189,295527518.3276292
190,191609876.1013795
191,188192110.2036
192,175056657.25686282
193,206603063.04095608
194,285227974.7377173
195,207419345.8698258
196,189818735.5839631
197,186431762.29280284
198,311818276.771023
199,253979059.42554298
200,134183273.57394761
201,165400406.61025557
202,211216260.89329225
203,222095714.41834468
204,303033744.8384988
205,159391324.1103367
206,331397322.7785062
207,188924514.28958145
208,191458672.60268086
209,746387559.5902393
210,249634340.64862886
211,185510008.1549979
212,80546210.44171166
213,135776955.81733498
214,176478919.83239782
215,388736831.19289905
216,313021116.3210889
217,348537184.2624433
218,367316052.8591408
219,172210560.6062091
220,362304709.88151824
221,301658718.4939127
222,379253411.71908367
223,93370709.10491882
224,371885153.8571366
225,491046568.3757675
226,309021085.9021428
227,128039117.82010327
228,110237806.12182018
229,244003161.5472839
230,175765961.11404786
231,172343740.3390976
232,291293261.8728505
233,160589338.62724552
234,246941596.96681878
235,133825260.3097861
236,189471952.36308146
237,316739483.3226484
238,237606895.41595876
239,249374533.73241997
240,174984684.62762395
241,181647155.0424685
242,244682982.22871938
243,245883215.38603944
244,110722954.87910211
245,506580718.4512089
246,148820756.590323
247,254816530.18976474
248,270885021.79368347
249,333217345.21693146
250,116966011.9801913
251,175148398.15563363
252,140856589.0864325
253,136419423.50189185
254,168749493.3237326
255,198300268.3394798
256,228916185.1038562
257,92633083.87717408
258,134147866.85541707
259,143378564.76419997
260,179214273.41507006
261,217936325.44039917
262,279608899.4455835
263,103467747.24502549
264,193179126.96527556
265,237210376.19357336
266,159166407.78015253
267,345927798.8952161
268,105721663.29915878
269,440107725.82138705
270,131689506.87923011
271,195036385.93833244
272,172954439.9630209
273,652606057.1390082
274,183898440.20445806
275,322684179.0638334
276,156568022.7667084
277,326773813.0264256
278,146623601.87661052
279,141091826.46155518
280,291253360.2787287
281,548257108.4314852
282,376970583.25501984
283,413764880.631931
284,130270641.702964
285,198972710.91553953
286,237309015.7126539
287,183413951.81770405
288,249770007.20812857
289,507209343.2857967
290,411613676.7346309
291,229548120.55797064
292,670149556.2809403
293,152259389.88823244
294,175281608.88176787
295,187910417.66481695
296,196879905.5935452
297,337798676.0359625
298,161660605.87440452
299,276851080.14577615
300,231400876.52595448
301,118964888.70789942
302,205577001.79661086
303,198472439.70686513
304,141681587.97984245
305,266306152.88844225
306,185419850.98405036
307,222872609.9546661
308,132381713.45210078
309,371783455.8439729
310,494470159.8433681
311,230110347.15809557
312,267264207.52131894
313,286959602.92252266
314,283950307.6588025
315,200994303.88105586
316,222846956.9463797
317,307404030.90509665
318,202975485.94797182
319,205317960.30295202
320,206602165.8309311
321,535739965.1258602
322,240266554.97923097
323,164035852.0121034
324,221482234.94703642
325,117781535.88151328
326,139210217.8950471
327,274434499.7609677
328,181714430.7822367
329,238597606.4838092
330,200236498.5935376
331,493932823.3587348
332,254713209.38426894
333,141728912.11132625
334,158936354.46108857
335,152085354.60843372
336,227536893.46152213
337,351061358.83500236
338,304478043.9421433
339,419750142.27033144
340,172616169.50878328
341,226187106.66429886
