,pv
268,231398308.56699648
269,157869615.3226736
270,232607216.04199696
271,153222245.33770433
272,270167480.06581587
273,224817732.06055865
274,190336898.91300878
275,165172519.23628506
276,272724032.4274331
277,87195839.95894425
278,208966620.23039767
279,307744743.9318694
280,145910734.10944787
281,197215737.31143516
282,310094593.5973068
283,323198673.73754334
284,356263141.0691319
285,188273250.55815166
286,243711604.0681273
287,269376951.3449138
288,181561210.94040632
289,164541391.400104
290,196699720.4884054
291,147270636.17178077
292,299033790.5758217
293,106991789.55282743
294,225181643.05073744
295,240008498.04485792
296,198356844.99253398
297,226498484.93450746
298,244578966.26224253
299,111164581.47232138
300,267835218.14747095
301,202035737.7779871
302,217919803.4996946
303,229386908.33067596
304,243389382.5219828
305,230362779.3372663
306,118111456.96677853
307,156194419.8032232
308,251047246.6887794
309,253424591.46639317
310,189460216.714271
311,65421481.80480324
312,358288840.8890399
313,124459443.12504745
314,172297565.90308535
315,136334956.30493027
316,232698251.45296234
317,183623390.41551033
318,105855993.17434835
319,103680512.566883
320,159142197.20024875
321,227792123.38201693
322,198703478.88658053
323,273354369.9121214
324,274020087.65743035
325,109647603.81991492
326,277947389.64646053
327,222582811.2836633
328,154233720.70420188
329,218121299.92765892
330,119084682.97056556
331,466256767.224862
332,310925701.02730644
333,131895932.25607154
334,138852124.1422018
335,223358262.26402748
336,452905903.1896653
337,177818002.38414156
338,381473960.17490864
339,208810610.3429268
340,189425604.1340442
341,398820959.1738758
342,182983173.27079743
343,159114252.98796645
344,165861431.2229001
345,168692406.48317635
346,331914524.8099972
347,237094891.52757832
348,322014503.49902326
349,159659390.48973495
350,220287603.71752876
351,144033567.69137824
352,208217269.35833925
353,165891594.05503413
354,110569751.35499465
355,257191918.78575295
356,176167624.00292015
357,161997814.12337208
358,147425790.47812545
359,164877242.10258123
360,237662339.8098591
361,170553611.99806622
362,135800277.8751912
363,138887297.07113567
364,165972509.9508655
365,151592886.44350448
366,272355521.8973254
367,136198130.27854598
368,141905467.49889234
369,155877635.33464468
370,158177486.570494
371,202609069.85605183
372,312186559.44817734
373,213143454.06643438
374,140009848.79821685
375,130372711.01279019
376,349000340.65203863
377,178091185.62885672
378,271628682.27408934
379,143184790.70073166
380,262294061.64003024
381,189596499.60762733
382,177038133.1205702
383,129665465.38576685
384,455047380.02456623
385,171793971.17586786
386,300213680.60038453
387,126359599.48530644
388,246773587.09572428
389,207887886.77133486
390,305808205.687333
391,249018044.45505765
392,383731017.016443
393,185411118.5407166
394,112181226.79577762
395,332665755.68801546
396,189921450.49289635
397,155802215.0027243
398,186784296.24550274
399,259986544.3529302
400,191784327.07221165
401,149392333.88789693
402,219044879.16802654
403,440021167.83642465
404,226915175.7357996
405,122459593.51871553
406,215282315.53018993
407,148434842.60702637
408,142751538.5511344
409,325569749.9244055
410,270457657.45776933
411,382413358.3935512
412,160526496.26695994
413,218487971.72139493
414,241900189.43143108
415,122630270.82966556
416,175669979.22142145
417,508164632.58396465
418,361070480.12469894
419,151615837.6046621
420,308712251.3344741
421,343838346.05566216
422,171978797.66705766
423,467377086.61718214
424,138031856.36505398
425,359572315.14842165
426,115961175.00094739
427,214263466.28776118
428,172521397.45454457
429,141736964.84588817
430,225987705.09071717
431,176492432.68320948
432,235662728.09738716
433,451585451.0553389
434,212243777.64176098
435,182296114.63980207
436,185756651.6946041
437,176480736.29336953
