,pv
0,189832293.0443131
1,296108917.693194
2,172725601.95452678
3,342268011.24150586
4,129444405.77748825
5,266160427.13376838
6,168952728.0996873
7,271747175.6306286
8,568733051.545454
9,793171121.1885271
10,251092100.6181836
11,261684128.78045914
12,276839511.1623482
13,98807294.5844274
14,142641427.35826278
15,227977923.84132373
16,388364770.63643724
17,98814299.33880639
18,149399425.21118993
19,310793299.0015154
20,231558302.99518278
21,152537727.7938815
22,326466936.94770867
23,329126341.4351296
24,272528760.09491694
25,327636325.15437376
26,406112584.3584654
27,158038367.14156646
28,199163359.6279749
29,246632645.91350514
30,219763818.79691926
31,208550816.1584624
32,198392108.15994683
33,173865464.74270895
34,304695518.5827729
35,152207357.75820276
36,169318959.07299742
37,136005827.75069425
38,243127177.13381615
39,216583389.31691334
40,143728560.1896231
41,247628423.97348353
42,92549964.86735715
43,215093849.03036988
44,175792129.20139086
45,162998043.9309753
46,240192724.5701216
47,221246257.19914445
48,363575825.2753402
49,147338526.43680206
50,324459502.4061696
51,292733047.43060535
52,198563402.1890972
53,173453289.16648462
54,196722444.46477017
55,86335109.36361966
56,301783785.22541785
57,265166943.16596842
58,327222587.2995399
59,177216393.39018896
60,206885542.43046948
61,490504699.12347263
62,102878315.24689747
63,210334228.12728834
64,385522730.8362649
65,134489648.98426488
66,121317727.92059924
67,267525920.20559013
68,164334767.05021623
69,151729211.51729268
70,157842888.76443782
71,230461948.67498505
72,198377123.2078918
73,78780581.49194142
74,199948314.5779193
75,181113347.3568159
76,267983953.5849926
77,180712390.96305147
78,208145301.00291446
79,87561311.69267641
80,240583249.73529804
81,154254061.6999949
82,267327768.75872436
83,299968099.0713522
84,240476766.30090988
85,515075413.43816394
86,160015135.78732038
87,221772553.41340837
88,284176131.78621554
89,507243133.4652523
90,162996815.12044057
91,137039717.2973849
92,229625452.4934626
93,140629035.7328093
94,136226338.10855168
95,344473647.1787854
96,203332861.00144172
97,177174165.92600077
98,101968448.09138775
99,315494014.6080685
100,207312264.8446786
101,207930983.6224197
102,318895333.0032043
103,141358534.54881513
104,314250551.0625877
105,148425489.1166197
106,204497654.32893625
107,131980869.40921122
108,143429025.53931308
109,172057444.01333165
110,187288156.34314075
111,191191048.21894044
112,268226285.43828544
113,164487151.26884404
114,366213892.04724944
115,202649026.5153035
116,385139452.6752822
117,112649926.66900444
118,334372893.5507482
119,250051106.37508297
120,161986820.0379753
121,181555915.40581858
122,193493347.42644155
123,171351196.7505356
124,333645220.8646645
