,SA50,SA100,RSA50,RSA100,SAA50,TS50,TS100
SA50,,,8.861645867515952e-44,,3.213069771401215e-95,,
SA100,4.565375642514498e-31,,5.374650632687239e-137,1.7751242874991346e-28,1.8934540796149056e-187,,
RSA50,,,,,1.7172422101366905e-21,,
RSA100,0.052755759523708326,,4.0958370537899627e-53,,6.440982738837044e-99,,
SAA50,,,,,,,
TS50,0.006391928921744168,0.04422388150077247,0.0002978904935800456,0.008122610153250965,2.5726682148266913e-05,,
TS100,9.861904427616891e-06,0.00025052236340166074,7.873298540059771e-08,1.3142068815353307e-05,2.521741702085618e-09,5.059855051330418e-72,
