,pv
0,181745678.62200573
1,226995377.28455684
2,196595931.12164572
3,185251014.92529935
4,134227080.03280684
5,426418233.68409884
6,119874220.68009062
7,269758012.54826933
8,200815827.51454863
9,194729205.85718375
10,191845291.0033792
11,209217002.96398178
12,357060626.75011325
13,286058199.33645207
14,164570579.04430518
15,182484336.9086079
16,172453152.78979266
17,232501025.77419525
18,161668070.55640438
19,129978487.34210855
20,173728089.66005647
21,123921935.46812998
22,207210620.3252352
23,272908578.4587771
24,195129369.36698508
25,854628777.3554935
26,199409139.16331738
27,154201666.76441377
28,176454474.18848878
29,295616420.865598
30,224808250.18539545
31,129855456.43669204
32,255181786.57238117
33,137414681.27401698
34,207424024.8009905
35,248555062.57127526
36,209252618.38041982
37,244882497.64720738
38,149085885.9651327
39,214055551.12179357
40,252232972.11492342
41,226311729.09890068
42,119298198.99024284
43,225933271.167193
44,181696875.79932314
45,309766009.3784342
46,185715819.79960233
47,249886332.0562726
48,167787498.00483555
49,227469584.0171783
50,173865097.41574
51,148488195.8183839
52,112761652.1173647
53,186092110.38128227
54,443310800.2435553
55,133191499.32271594
56,202853214.7821655
57,132104885.8111071
58,285003374.86473054
59,281333760.21756846
60,205900444.0867554
61,210896809.7144432
62,311765170.83259517
63,278183784.0179227
64,177804366.3647805
65,301183129.4480381
66,308378593.8012279
67,115056758.872647
68,223371683.52684182
69,367266783.43150026
70,414686246.0869189
71,197090420.49205467
72,448656204.5371786
73,99805721.50499097
74,285625558.55844283
75,203792143.80266228
76,220444090.40999275
77,663352836.443845
78,172361549.8283342
79,224135902.12754923
80,189189184.78499854
81,190333742.56726143
82,129823063.87433787
83,177975229.52847144
84,190533317.18207368
85,125142668.2667395
86,426353931.68806714
87,169748324.65805852
88,145648975.39736316
89,191137278.21983242
90,193804368.67475155
91,179346170.61659983
92,136960629.78246146
93,137752468.31467706
94,233398811.43177706
95,151993647.98430178
96,172706708.7137892
97,117411124.3091029
98,181712608.99947315
99,175780517.53342703
100,126889279.707609
