,pv
0,182330764.96655366
1,300937491.84484684
2,173411382.65548295
3,353542725.4837884
4,126458949.3556921
5,283399920.0121246
6,170366220.6853738
7,272408154.8754054
8,573186197.5386783
9,790892840.1102293
10,252052783.31318286
11,259935113.78705183
12,261155937.91769266
13,99781441.35018627
14,147069383.3036265
15,229754954.98751703
16,384211122.5221593
17,100299689.48466992
18,149032641.20135114
19,296328616.1275332
20,246114274.5140648
21,151581535.94143096
22,329380460.20024693
23,315171382.4612533
24,254214429.73777926
25,313656893.6439124
26,389635463.51872224
27,132160765.31671326
28,201923717.8851133
29,228310059.9668022
30,218543304.22080505
31,206453830.68837896
32,215044759.94545966
33,185296902.85142237
34,308903006.92156696
35,162338091.9243447
36,168496876.18438417
37,136139944.16535413
38,240541985.29041353
39,224455342.78268325
40,149027796.64010182
41,234705713.54651812
42,93716218.26335019
43,213504024.0726453
44,177371836.28272378
45,166904868.90803745
46,236375137.76872876
47,217479072.95601118
48,374104781.92555606
49,138525308.7263448
50,358324018.2328752
51,286498919.48696834
52,201205942.19703507
53,170383850.37589604
54,190385329.379766
55,87680518.58742577
56,314782164.000155
57,268585814.2227362
58,361438658.76967233
59,181716325.84004253
60,206281405.21736008
61,504872792.3204346
62,101586144.04360646
63,210421509.13456094
64,392203044.3945637
65,129270886.49466968
66,130772851.18328537
67,265877662.233619
68,164979747.92753407
69,156858567.64528084
70,152858687.22747022
71,226338808.20153642
72,202950646.8015729
73,82319119.56001605
74,201030198.6946723
75,186864035.61079058
76,275246673.7394142
77,190530298.93107527
78,208154269.43159124
79,87777951.51542322
80,231341618.14504108
81,167598357.64029104
82,259026347.3807372
83,283730331.55192125
84,250283864.81281444
85,492321492.6892017
86,156226999.81810886
87,227084793.9037243
88,267702005.5830831
89,503599610.4488835
90,158288246.69697985
91,136614955.944383
92,245478082.4073373
93,138836742.59071353
94,133733733.46539989
95,361619200.89408946
96,197876399.52434048
97,175960526.55377507
98,102835356.12350178
99,317920810.535193
100,206520318.3498745
101,214088255.35771495
102,308766773.89992845
103,144264285.01102322
104,330022732.8243764
105,154688844.04984465
106,209998824.2981405
107,136590010.37556848
108,135923498.69139192
109,144995293.9001403
110,187128241.15757036
111,186085400.32008836
112,277986790.84830654
113,162972200.73416924
114,387495347.47397316
115,199999735.65515363
116,365728793.04491913
117,92556609.03692427
118,325277579.2096929
119,246730167.09105626
120,161963337.08546126
121,182439995.93933228
122,193734599.94490594
123,175704165.58893237
124,316473529.0349992
125,184800473.50900632
126,206821289.4344163
127,343684067.62121505
128,279095605.3629372
129,383553932.2603018
130,270775742.3112513
131,165049549.91677877
132,207943036.677937
133,326256367.68595153
134,382530116.61587256
135,142088430.46670955
136,190279265.5647203
137,243797340.46338964
138,136744676.5732983
139,139729113.33217847
140,93325798.0010091
141,132296570.44774525
142,230139325.5353336
143,192904667.2259308
144,181199371.93810114
145,301651875.7935357
146,157549371.45687774
147,121117854.98782423
148,192149778.2869162
149,425756905.8601977
150,127679458.97094944
151,165460409.29930606
152,182308799.17673707
153,116201944.71574715
154,141792470.01559585
155,150034852.7757905
156,238451295.26306656
157,185124994.78040695
158,133167632.90077323
159,307176008.4347386
160,195337449.51015496
161,141842325.32050854
162,157958220.61653224
163,252551776.2314136
164,363467868.5052554
165,111871576.11998643
166,160441729.14669684
167,167897361.61846587
168,288547954.22206056
169,146432657.50082818
170,230759271.50377473
171,373855572.81853795
172,121846536.43646508
173,191995493.3712478
174,173626779.04584244
175,326942744.5031955
176,162032383.92213172
177,135147751.28294888
178,223302448.773824
179,670094101.7063209
180,157349416.2394572
181,655322993.2315141
182,182917942.26401064
183,142820634.12967953
184,126890806.03991354
185,445310720.65412897
186,302689577.1237811
187,199122299.1529288
188,306312904.18534994
189,285017045.12974954
190,183170415.0390442
191,180847382.69914526
192,172685706.8059914
193,199477057.22846088
194,283522231.07269144
195,200363794.65025693
196,181413738.00303292
197,187524570.0773362
198,298369788.2771602
199,237358096.9596805
200,134818295.28008118
201,162760046.4711023
202,195666002.95262277
203,247375100.01643866
204,308130786.7207142
205,153920376.7607107
206,321987656.7369171
207,198722410.0357722
208,193421682.7721483
209,727858560.3356943
210,244256654.7706455
211,187427497.47137067
212,81751521.2857452
213,121186265.5137953
214,176809050.74894392
215,366805252.69690436
216,298438309.03187764
217,326826973.3973761
218,367322152.50981414
219,176454475.2039278
220,346005866.2067386
