YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1981;13613.82;11462.12;4296.19;4152.64;3693.18;3951.48;3118.92;2752.96;6226.46;7353.82;7537.4;10668.29
1982;4352.26;6245.81;4495;2387.97;2355.48;11707.22;23453.1;10713.65;6350.63;19796.33;33286.07;16321.75
1983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1984;6707.33;6277.39;5847.07;6547.01;11477.68;19177.84;14574.31;28527.49;12862.26;12475.44;12995.34;8851.65
1985;3669.72;8884.32;6069.88;10506.71;7674.08;4478.51;5131.47;6476.5;7110.82;4122.11;4408.2;1441.7
1986;2201.57;4848.83;4624.77;8239.95;7162.96;8143.01;4667.29;6438.9;8733.01;8805.84;10977.37;10043.25
1987;10074.15;9729.31;3468.4;9202.59;28746.46;16724.45;13582;10718.83;7307.65;13543.51;6180.76;3790.37
1988;4184.64;5485.64;4250.2;5175.82;19092.13;14358.65;5885.88;2589.99;8510.56;6362.98;4074.81;2866.44
1989;10019.61;14811.7;7617.02;7624.21;12718.81;3659.4;8638.57;10984.03;29671.54;12092.85;5343.94;3303.62
1990;17804.81;10648.59;6740.4;12563.21;13068.09;31530.31;14918.85;14606.87;20474.89;24147.39;17552.87;7453.19
1991;3565.4;3761.5;2684.69;2986.48;2481.35;10333.43;7656.1;7739.52;2870.43;8451.31;7728.69;9286.47
1992;5879.48;7278.83;8381.6;7367.14;25132.34;29102.87;21361.03;17353.14;12969.48;7858.68;8592.9;5306.86
1993;5832.71;9536.28;8806.7;5978.42;12574.9;11670.46;19596.13;6260.07;12128;22735.78;6603.4;11069.76
1994;4577.42;13817.35;7754.79;6962.84;11651.35;16081.5;19587.39;7238.28;4644.39;11039.65;12967.45;7351.33
1995;25365.49;13096.53;7409.02;4322.28;2542.44;5227.65;12142.76;6017.42;7472.78;15096.44;5876.19;4276.83
1996;12539.04;17130.25;13363.84;11487.66;3187.46;7949.58;14952.77;10574.14;13396.85;18320.99;11275.98;8898.83
1997;10514.99;22862.44;9009.28;3009.02;3284.15;10093.94;12061.01;18330.91;8022.32;36613.28;34404.9;13236.04
1998;15729.86;24230.34;19240.02;31342.11;22128.38;8687.4;14055.5;25167.3;26930.49;25910.59;7384.03;5792.31
1999;5633.35;8581.54;5934.64;8825.75;4682.77;10097.05;20352.48;4962.26;5524.87;13602.81;5413.47;4056.85
2000;5183.68;7113.62;8157.78;4447.53;4893.5;5551.01;11777.6;6591.8;26638.17;24927.54;8005.45;6369.16
2001;13152.25;20982.56;11087.25;9064.37;12036.91;11186.02;14295.29;8030.21;9594.72;26474.92;7696.49;8541.41
2002;7376.78;6045.08;4701.61;4165.87;9303.87;11277.68;7238.2;12134.87;15017.66;19037.43;17418.65;16834.87
2003;7860.47;9222.95;8340.18;4096.91;4280.55;7690.47;7289.36;3227.84;2798.56;5781.32;7435.18;17174.26
2004;8996.77;4546.8;3298.56;3955.58;8789.31;8274.21;12705.6;4562.76;8558.21;14390.44;12825.12;5906.74
2005;5580.37;2940.42;2573.23;6297.93;14544.79;17201.4;9615.78;7851.69;27069.78;29799.22;12732.29;4262.22
2006;4540.66;3964.14;3841.08;2904.26;1575.72;2327.87;3154.55;5173.4;5406.34;5096.17;7180.77;7427.78
2007;6978.33;7361.53;9617.28;8573.7;19676.18;7759.36;12548.16;6608.72;8853.16;10142.32;14221.95;7653.82
2008;7455.89;5088.3;4361.84;5924.05;9801.09;9819.79;6702.12;9306.11;8238.13;22134.3;19442.64;5007.68
2009;5698.04;5016.72;4489.77;1862.2;2633.78;3875.86;12635.41;18805.57;30269.06;25257.81;14550.37;12105.22
2010;16393.73;15194.28;9947.14;20304.29;23860.08;10948.84;11679.29;9296.72;7007.25;6930.86;5671.42;16680.07
2011;12394.23;21152.87;12903.63;11443.51;6368.47;8435.22;22927.29;31196.1;25803.98;11660.59;7329.35;3937.77
2012;6995.32;5652.86;4081.37;4044.25;5820.42;14993.31;10156.43;8135.09;4971.36;7665.46;4929.09;4665.31
2013;9082.73;7008.55;12931.71;7779.19;5027.03;18801.11;16484.93;18320.07;17441.16;13707.82;6657.47;6575.95
