YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1931;11445.26;14719.19;23409.86;23382.44;10800.89;6555.49;4487.15;3223.12;2494.37;2569.03;4641.31;5928.45
1932;9396.12;13849.17;14320.59;10803.52;6621.21;4734.66;3104.44;2097.61;1673.39;2055.48;3710.95;6305.46
1933;9866.75;13631.43;13800.87;14378.16;9859.45;5247.05;3383.62;2428.81;1773.43;1617.7;4108.02;7741.12
1934;12189.83;12177.59;14352.06;13302.03;10134.26;5947.45;3729.34;2481.26;1469.26;1797.54;2322.72;5572.98
1935;12910.68;18010.69;18872.78;23222.27;15783.48;8962.09;5208.33;3864.63;2816.89;2790.11;4112.86;7840.01
1936;9918.07;13302.4;18684.74;16695.74;11661.46;6010.18;3881.61;2750.74;2031.24;2043.46;3153.28;5346.7
1937;8140.01;11285.29;12043.11;13679.45;9992.31;5440.07;3463.18;2248.83;1294.99;1744.23;4222;9205.84
1938;12852.12;12809.84;14022.72;13661.28;8961.21;5081.99;3290.67;2383.53;1508.18;1645.6;2542.08;5416.25
1939;9416.01;13682.94;11381.14;11570.96;7986.12;4501.39;3369.41;2544.88;1766.44;2671.58;4080.89;5406.82
1940;10276.83;18874.24;25165.1;20886.36;11334.04;6801.83;4651.93;3457.4;2642.22;2805.1;4914.35;8514.67
1941;11775.03;12523.57;14072.94;15476.03;9131.23;5226.83;3479.82;2498.48;1752.41;2394.35;5165.37;8016.43
1942;11838.64;16877.66;22404;16023.03;10651.59;6365.3;4221.03;2892.26;2234.46;3813.06;5489.32;12143.41
1943;24318.78;29183.48;24247.65;22236.36;14228.5;7598.31;5235.62;3933.36;2603.72;3328.2;5723.93;11659.05
1944;13257.7;14291.3;15506.72;14684.2;8808.92;5250.53;3515.58;2533.84;1883.99;1522.49;3490.48;7332.98
1945;18076.42;22301.65;20840.05;21771.01;16857.09;10536.52;5546.02;3913.94;2977.59;4070.01;7381.2;11905.46
1946;15821.04;14904.42;13711.15;13644.9;8870.4;6555.77;3862.32;2706.4;1844.4;1502.57;2472.47;4191
1947;7474.73;12522.31;17839.09;22076.88;11910.68;6246.19;3930.2;3189.74;2671.99;2541.82;5539.85;7976.14
1948;11812.83;11791.37;14672.99;15190.72;8514.6;4899.69;3368.78;2270.44;1759.64;1827.88;2249.05;11071.46
1949;15706.01;18496.37;17190.76;14203.75;9619.73;5633.05;3177.84;2219.1;1529.58;1446.88;2883.83;4555.71
1950;5481.26;6979.2;10625.12;12299.45;9681.85;4891.45;3626.84;2274.31;1757.09;1840.4;2664.6;4642.37
1951;7504.73;9335.08;8848.47;11778.42;8443.5;5350.89;2925.88;2016.42;1453.12;1308.22;1379.94;3020.24
1952;6268.96;5630.56;12036.61;12531.76;9467.84;4886;2795.03;1844.62;1458.55;1297.46;1649.83;4752.09
1953;7504.95;5634.78;7660.54;9742.09;6687.98;3277.94;2124.77;1675.86;1322.78;1847.49;2664.51;4916.23
1954;9270.37;10671.55;11533.4;12032.59;8468.58;4925.69;3061.72;1847.77;1282.01;1032.16;1628.63;5745.9
1955;6073.61;9980.95;9406.32;10269.89;7309.2;4402.2;2569.27;1878.96;1454.08;1335.97;2582.64;4904.85
1956;8750.38;7606.14;12810.21;11948.84;8900.26;5504.85;3383.25;2543.73;1953.53;1750.43;5612.11;12820.8
1957;21274.59;20418.43;27106.69;32208.85;17395.4;9848.68;5544.76;3986.44;3151.81;3148.26;2663.5;5408.88
1958;9495.46;14951.7;15315.78;17459.51;12816.24;7103.36;3833.81;2627.67;1931.59;2085;2699.65;3604.63
1959;12791.41;18109.33;17588.25;16242.32;10267.79;5711;3729.67;2458.92;1818.74;1707.8;2574.08;3839
1960;7181.52;14918.77;19747.19;17948.04;10570.91;6070.02;3712.59;2409.33;1790.47;1664.12;2505.57;5809.85
1961;10787.91;16033.19;16899.92;13136.18;8501.5;5043.51;2907.87;2173.83;1707.78;1370.17;1646.98;2569.89
1962;5100.68;9361.22;11651.63;11190.44;7170.24;3942.8;2438.05;1851.57;1558.49;1553.64;2305.66;4389.23
1963;10318.63;12551.23;12923.34;9589.65;7787.29;4319.38;3027.46;2227.47;1652.87;1347.18;1756.6;2294.61
1964;10737.62;19276.9;17983.13;15077.5;10002.72;6253.7;3437.19;2291.89;1641.09;2328.25;3672.71;6809.31
1965;7936.66;10616.44;14205.58;18706.86;13115.21;6492.65;3690.67;2421.13;1976.34;2167.17;3286.51;6372.19
1966;8803.48;15397.32;16566.74;14964.66;9260.14;5492.23;3647.12;2416.32;1813.03;1927.51;2637.35;4289.17
1967;7144.38;9475.47;13403.69;15336.68;10312.36;5300.07;3195.82;2169.87;1775.23;1663.67;2619.93;4488.89
1968;7801.97;10421.28;22020.86;17290.63;11077.2;5895.92;3452.42;2450.68;1898.44;1833.17;2800.22;10455.43
1969;9177.17;12375.16;14903.32;12763.49;7877.86;4993.92;3003.94;2240;1666.93;1597.64;2382.41;5260.2
1970;10608.92;14830.72;19264.25;14413.57;9884.11;4607.68;2881.15;2044.5;1725.64;2030.33;3808.99;3870.7
