YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1981;17437.31;15454.45;14648.6;18947.49;8929.89;6250.82;5090.57;4547.79;4209.51;5391.92;12710.18;18116.56
1982;21132.97;23344.96;22226.8;20862.27;12374.54;8070.47;6338.98;5363.23;4908.46;5028;5059;5517.01
1983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1984;19163.62;9709.56;8414.51;12461.96;6341.99;4395.27;3884.21;3482.66;4183.75;4451.2;5497.27;11575.38
1985;18561.38;24975.85;22083.72;22033.14;9928.68;6173.65;4920.06;4415.55;4228.58;5486.39;6924.5;11449.64
1986;18700.06;22754.39;15554.44;7629.89;5659.95;4238.15;3921.22;3863.15;3659.84;3235.86;3756.12;5718.81
1987;9724.1;7973.19;8219.33;9152.12;5601.08;3733.33;3422.94;2758.94;2699.23;3095.87;4531.74;10749.18
1988;16159.27;10963.66;13621.68;10385.72;6479.9;3915.13;3330.7;3331.28;3200.37;3287.97;5144.7;8169.43
1989;11197.38;7855.45;9536.48;6031.19;4211.82;3289.74;3236.79;3016.34;2824.73;3095.21;5364.5;20432.63
1990;28071.03;12452.22;9685.37;6656.15;4260.96;3400.48;3493.62;3213.13;3236.01;3547.57;4462.48;5188.9
1991;10441.34;15734.95;14345.67;15657.14;7792.5;4840.57;3858.48;3521.15;3293.14;4173.54;6205.07;9603.91
1992;15200.44;29990.87;39291.98;13271.14;8670.26;5729.91;4636.19;4242.84;4257.96;5671.84;12715.29;16234.51
1993;18079.55;13811.95;12530.75;7947.66;5715.38;4335.35;3789.54;3626.55;3238.62;3811.89;4035.73;5838.32
1994;15088.78;14585.28;14956.85;15333.26;6898.31;4949.45;4216.57;3444.77;3417.46;2701.62;3053.11;9120.64
1995;8983.27;8891.07;9307.98;8453.53;5580.48;4255.12;3319.8;2933.05;2341.2;2780.45;5087.73;9733.66
1996;13805.93;7080.73;6496.76;5737.34;4017.54;3149.33;2640.65;2091.91;2041.27;2457.62;5121.75;10198.24
1997;17758.16;14930.59;13838.83;13664.62;7950.56;5297.94;4073.01;3657.59;3213.83;3326.58;3881.08;9220.61
1998;10343.59;9773.42;9553.73;4845.96;3612.55;2865.3;2496.6;2296.35;2048.56;2095.74;5885.8;9942.07
