,model,cut,time,gap,bound,CI_approx_lower,CI_approx_upper,CI_true_lower,CI_true_upper
0,0,B,833.0580041408539,0.057449795293147816,200374.73417084877,188863.2467108146,189162.49328910647,189553.7346784687,189938.55198678325
1,0,SB,4934.171695947647,0.047939760941628,199190.19080751992,189641.06067829015,189943.77265596256,190236.39074820883,190626.58258584214
2,1,B,1613.9288311004639,0.05899991120224846,196480.3776871708,184888.0528506435,185233.3404820957,189501.9680339456,189882.16529915872
3,1,SB,9591.148579359055,0.049459770678031936,195256.57552403468,185599.2300752381,185947.4165902619,190232.63198758368,190617.06134515125
4,2,B,3251.216164112091,0.05830100974031101,197236.6964648962,185737.59790314952,186077.08876419681,189563.46496461658,189945.14170170104
5,2,SB,19435.030250310898,0.04800258729033766,195935.25064841952,186529.85167591457,186871.50832368163,190443.86559494224,190827.46107094025
