,0,1,2,3
0,9808.800535568458,4471.770884496905,3381.5465400529497,1815.3857154722614
1,10720.807320037962,12580.603850141222,2445.790776762696,1672.3179132567777
2,10866.154686369106,4403.1179255320285,2717.7524667660746,1873.5891641958565
3,11305.512220531684,8468.73874351732,6073.342139887959,2813.8851898022695
4,11631.44043282207,5190.328435607578,2703.472734503,1576.956971946738
5,12051.520584184955,6376.104777550626,2771.8098138082005,1571.947929066449
6,12093.449485535859,16907.745251752956,2491.3677448125054,1865.0033904703014
7,12280.276381364034,8355.444831890056,3372.380786337374,1586.0263853040824
8,12808.344229611026,3245.8545636874683,3205.7531511025186,2104.6668632831584
9,13244.02711666883,17709.432731555986,2721.6436761185846,1525.8202013674993
10,13407.66865143575,3269.5947830111036,3544.190237880586,2673.973378605926
11,13734.663184796183,6172.194748119841,2111.953315009053,1744.9674415033935
12,13736.932109124125,7091.469321224007,3310.1571813036467,2132.8366878404972
13,14078.033695432305,5536.8814423394915,5010.149971112933,2208.4405425754744
14,14636.613514092933,32149.387790444453,2054.886399708906,1692.897969772098
15,14832.126111077281,8205.998312787484,3490.5372074508405,2419.0014374211482
16,14840.375269511056,8520.756774322248,2612.2847817863703,1715.2703259158573
17,14877.194532739964,6858.167104430665,2913.03200425854,2359.8572379249918
18,14897.68646202853,22753.484156564402,4299.389457535293,1868.8272766088062
19,15227.1294946138,6696.995973227832,3608.0661685257423,1588.9390544706014
20,15315.267647085057,2827.298916421934,2973.711980396759,1722.3387230921835
21,16010.286028365052,13498.492901570307,2386.46145374814,1356.9328853632012
22,16027.237868485532,8480.090234532374,2719.959589278313,3016.885008953185
23,16108.061704296057,12204.99541997935,2989.4276369654795,1788.4897583701427
24,16519.89877919332,7799.752046133201,2422.110506594892,2078.9158015938515
25,16831.93265136568,9695.432944723849,3162.16668861805,2986.821274600464
26,17161.19672956168,17091.55885142616,2243.6927866523893,2257.2959327035283
27,17265.471278873112,9667.169639167329,3693.0471401666578,1945.314875765984
28,17447.824648452275,15445.802330684392,2608.3267823827073,1301.1630127268743
29,17699.77979534503,17795.645260222187,2849.4592469930244,1974.0433168466416
30,17999.72566837221,15156.17157880253,3793.210885442907,2208.7380566990614
31,18450.407870712952,14710.20099594716,2363.1742892468005,1426.0450225921788
32,18727.575338396517,6108.729438954096,3412.291873700683,1967.1874989022003
33,18840.072920518494,11569.442863827722,3557.694843859582,2111.195418050435
34,19083.64947961279,40025.79471197987,3423.7552285045845,2030.3970330135103
35,19543.794623093734,8069.900600080619,5252.133893278006,2084.837545387326
36,19651.900693161464,16713.704038959902,3284.919054820885,1582.6566068233542
37,19832.57595315985,8214.50206117097,4052.5855930313633,1640.8306892491808
38,20223.30705675852,16005.752979438119,5137.340212276636,3339.9719563733124
39,21191.454141871774,13117.733028629325,3103.351184831147,1818.9388076598943
40,21250.329895213,8093.328213425391,3839.595589059568,2013.8336069184381
41,21303.55282380813,6035.677481723526,2780.2708889759115,1850.342169084638
42,21648.723414140215,25321.685015435796,3013.320635194448,2245.098928605633
43,22812.09017897149,9692.770639814575,3259.3463777233064,1752.6038506126577
44,23338.33824512815,15841.86087044742,3319.64502630643,2018.3329225928812
45,23788.66884131809,5590.329365748488,4402.744516168662,1855.514726171418
46,25581.81941409477,15079.76299253669,2868.5030623175758,2360.3456223982307
47,27240.419433606592,4755.62597756182,3338.599678338974,1983.1877129284467
48,33150.973235135505,28069.64757462231,3522.0558185965465,2515.730780916193
49,33816.55146469598,7948.715002900412,2670.1170202533494,1517.6238592909756
