Date,AAPL,ABBV,ABT,ACN,AGN,AIG,ALL,AMGN,AMZN,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,C,CAT,CELG,CHTR,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DHR,DIS,DUK,DWDP,EMR,EXC,F,FB,FDX,FOX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KMI,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,OXY,PEP,PFE,PG,PM,PYPL,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TXN,UNH,UNP,UPS,USB,UTX,V,VZ,WBA,WFC,WMT,XOM,^GSPC,^TNX
2016-01-04,99.49910736083984,50.88063049316406,40.0044059753418,95.31629943847656,296.7590637207031,55.972713470458984,57.072025299072266,144.6692657470703,636.989990234375,63.82689666748047,128.03810119628906,15.558241844177246,294.6199951171875,37.6141471862793,1245.3699951171875,307.03656005859375,61.376739501953125,48.51176834106445,60.80599594116211,117.62000274658203,177.52999877929688,60.019142150878906,25.743144989013672,65.64274597167969,43.71620559692383,147.8763427734375,23.76581382751465,89.1092300415039,77.98898315429688,46.3800048828125,98.34313201904297,61.87947463989258,30.537616729736328,42.229881286621094,24.681127548217773,11.553786277770996,102.22000122070312,138.946044921875,25.699995040893555,25.683618545532227,127.0938720703125,26.390478134155273,89.35540771484375,28.71307373046875,741.8400268554688,759.4400024414062,169.23480224609375,121.76923370361328,91.13096618652344,118.0918960571289,31.017492294311523,92.1174545288086,58.20008087158203,65.03411102294922,13.618021965026855,38.06965255737305,75.81282043457031,195.626708984375,70.89278411865234,92.56219482421875,107.7660140991211,41.040679931640625,70.5909652709961,37.46875762939453,135.16336059570312,49.991851806640625,47.53630447387695,29.27935791015625,51.06563949584961,93.89291381835938,109.95999908447266,59.00897979736328,31.81570053100586,33.954139709472656,58.296348571777344,89.61209869384766,28.35114860534668,70.51477813720703,74.3825454711914,34.75,43.798423767089844,114.99610137939453,54.79204559326172,62.62580490112305,40.246028900146484,167.91575622558594,28.458152770996094,65.53070831298828,49.92502975463867,110.84135437011719,73.33293914794922,85.74073028564453,38.230594635009766,88.41592407226562,73.8260726928711,39.145694732666016,77.60183715820312,47.99885177612305,56.5663948059082,68.44581604003906,2012.6600341796875,2.244999885559082
2016-01-05,97.00572967529297,50.668663024902344,39.995079040527344,95.81239318847656,297.97528076171875,56.167213439941406,56.94032669067383,144.51397705078125,633.7899780273438,62.84482955932617,128.5575408935547,15.558241844177246,296.70001220703125,37.472991943359375,1210.68994140625,307.829345703125,62.58541488647461,48.2556037902832,60.17101287841797,117.95999908447266,175.1699981689453,60.288116455078125,25.747774124145508,64.4549789428711,44.20111846923828,148.23780822753906,23.65782928466797,89.3678970336914,78.65608978271484,46.46601104736328,96.35680389404297,62.322776794433594,30.305200576782227,41.95310974121094,24.848785400390625,11.347024917602539,102.7300033569336,140.12791442871094,25.690336227416992,25.683618545532227,127.62625885009766,26.416255950927734,90.49504852294922,27.95451545715332,742.5800170898438,761.530029296875,166.32089233398438,121.17461395263672,91.87727355957031,118.00504302978516,30.87148094177246,92.50248718261719,58.30070114135742,65.65135192871094,13.894486427307129,38.20433044433594,76.94721221923828,200.26023864746094,71.04346466064453,92.73792266845703,109.25079345703125,41.37806701660156,70.7959213256836,36.75611877441406,135.75254821777344,51.0023193359375,48.1431884765625,29.093338012695312,51.29861068725586,94.80853271484375,107.66000366210938,59.83387756347656,32.3267936706543,33.849666595458984,59.264923095703125,90.22905731201172,28.555246353149414,70.73973083496094,75.12638092041016,34.310001373291016,42.9420280456543,117.99738311767578,55.15882873535156,62.91548538208008,40.5284309387207,171.25941467285156,28.656984329223633,66.6800308227539,49.401336669921875,111.05074310302734,72.627197265625,86.59052276611328,38.41492462158203,88.55471801757812,74.38197326660156,39.683353424072266,75.56485748291016,47.980709075927734,57.910152435302734,69.02902221679688,2016.7099609375,2.247999906539917
2016-01-06,95.10736083984375,50.677490234375,39.65961456298828,95.62519073486328,292.879150390625,55.342864990234375,56.30065155029297,143.1891632080078,632.6500244140625,61.09965133666992,126.5162124633789,15.226813316345215,293.67999267578125,36.53192138671875,1196.7099609375,304.32666015625,61.486629486083984,47.55348587036133,59.22301483154297,116.70999908447266,174.30999755859375,59.49046325683594,25.548824310302734,63.61055374145508,42.289459228515625,146.8660125732422,23.40586280822754,88.27781677246094,75.54881286621094,45.92470932006836,95.84110260009766,62.461856842041016,29.638547897338867,41.47099685668945,24.875261306762695,10.842528343200684,102.97000122070312,136.3692169189453,25.5937557220459,25.809186935424805,126.3372802734375,25.995180130004883,91.44320678710938,26.954599380493164,743.6199951171875,759.3300170898438,162.2605743408203,119.9204330444336,90.83777618408203,117.41437530517578,30.18708038330078,92.03491973876953,57.45909118652344,65.77658081054688,13.17211627960205,37.99782180786133,76.46233367919922,199.68222045898438,69.63086700439453,91.31947326660156,108.51757049560547,41.22812271118164,70.99156951904297,35.13289260864258,133.01832580566406,51.54239273071289,47.48195266723633,28.367868423461914,50.36675262451172,94.50029754638672,117.68000030517578,58.9802131652832,30.990087509155273,34.02061462402344,56.592689514160156,90.25628662109375,28.049448013305664,70.05590057373047,75.10928344726562,33.97999954223633,42.505088806152344,118.00679779052734,54.6697883605957,61.2860107421875,40.5369873046875,170.8403778076172,28.61497688293457,66.00291442871094,49.079776763916016,109.91815948486328,69.48847961425781,85.36101531982422,37.83428192138672,86.14936065673828,73.40670776367188,39.32482147216797,74.40620422363281,47.06446075439453,58.489986419677734,68.45466613769531,1990.260009765625,2.177000045776367
2016-01-07,91.09339904785156,50.5273551940918,38.709136962890625,92.81710052490234,292.589599609375,54.01833724975586,54.974281311035156,139.77203369140625,607.9400024414062,60.54954528808594,121.2124252319336,14.677587509155273,284.010009765625,35.60968780517578,1167.18994140625,291.0257568359375,59.78348922729492,45.124576568603516,57.18393325805664,111.88999938964844,173.6300048828125,58.44236755371094,25.2665958404541,60.390594482421875,41.086517333984375,143.50143432617188,22.865934371948242,87.00297546386719,72.87164306640625,44.7459831237793,95.01982879638672,61.88816452026367,28.525421142578125,39.828224182128906,24.566417694091797,10.503440856933594,97.91999816894531,130.38241577148438,25.033588409423828,25.007476806640625,122.17150115966797,24.895219802856445,87.75082397460938,25.851245880126953,726.3900146484375,741.0,157.27354431152344,116.5015640258789,88.16346740722656,115.40780639648438,29.055511474609375,90.96231079101562,55.135475158691406,64.31845092773438,12.708370208740234,37.36930847167969,74.47715759277344,195.7001190185547,67.8698501586914,89.64667510986328,106.00628662109375,38.978797912597656,69.32392120361328,33.66011047363281,129.77780151367188,50.64516830444336,47.0652961730957,26.95412826538086,48.614864349365234,94.91732025146484,114.55999755859375,57.407135009765625,29.76148796081543,33.279808044433594,55.572208404541016,88.52339172363281,27.863101959228516,69.4440689086914,74.5962905883789,33.130001068115234,40.320411682128906,115.36187744140625,53.31550598144531,59.91907501220703,40.1946907043457,167.2348175048828,28.152904510498047,65.82470703125,47.49951934814453,106.68218231201172,67.86337280273438,83.71562957763672,37.115386962890625,85.02066040039062,71.96336364746094,39.10884475708008,75.84516906738281,45.721832275390625,59.852149963378906,67.35896301269531,1943.0899658203125,2.1530001163482666
2016-01-08,91.5750732421875,49.14957809448242,37.898414611816406,91.91850280761719,289.0281677246094,53.2125129699707,54.7767333984375,137.69802856445312,607.0499877929688,60.350379943847656,118.46031951904297,14.393503189086914,280.5899963378906,34.96035385131836,1136.9599609375,283.69775390625,58.263492584228516,43.76780700683594,56.60261154174805,108.9800033569336,174.88999938964844,58.01571273803711,25.29435157775879,59.60184097290039,40.36848068237305,140.98953247070312,22.29901123046875,86.43022918701172,72.0904312133789,44.77126693725586,94.78108978271484,61.74910354614258,28.30524253845215,39.37289047241211,24.548763275146484,10.371113777160645,97.33000183105469,130.49867248535156,25.04324722290039,25.007476806640625,121.60176086425781,24.448362350463867,87.93315887451172,25.454727172851562,714.469970703125,730.9099731445312,156.62387084960938,115.10801696777344,87.45267486572266,114.33936309814453,28.754375457763672,89.99053192138672,53.900482177734375,63.67438507080078,13.17211627960205,37.27054214477539,74.33077239990234,195.35145568847656,66.74919891357422,87.93473052978516,105.84129333496094,38.41646957397461,68.73697662353516,33.28003692626953,129.33592224121094,50.73228454589844,46.268192291259766,26.396068572998047,48.76396179199219,95.34339904785156,111.38999938964844,56.467140197753906,29.122621536254883,32.90939712524414,54.629581451416016,88.19674682617188,27.50815773010254,68.35535430908203,74.13462829589844,32.689998626708984,40.09321212768555,114.22703552246094,53.259071350097656,58.91424560546875,39.89517593383789,162.46817016601562,28.178112030029297,63.5972900390625,46.26838684082031,104.84530639648438,68.58769226074219,82.6217269897461,36.59003448486328,83.63294982910156,71.07588958740234,38.728729248046875,75.73303985595703,44.959800720214844,58.48078536987305,65.99817657470703,1922.030029296875,2.130000114440918
2016-01-11,93.05786895751953,47.586334228515625,37.954322814941406,92.88262176513672,288.9413146972656,53.43480682373047,54.57918930053711,134.9387664794922,617.739990234375,60.74872589111328,118.6607894897461,14.49766731262207,278.5400085449219,35.214439392089844,1136.280029296875,284.19549560546875,57.66831588745117,44.45094299316406,54.97492218017578,103.02999877929688,175.6300048828125,58.25687026977539,25.317489624023438,60.09364700317383,38.34492874145508,143.40870666503906,22.739953994750977,87.68659210205078,70.89667510986328,44.7459831237793,95.4209213256836,62.43578338623047,27.767030715942383,39.10504913330078,24.760541915893555,10.561333656311035,97.51000213623047,128.8130645751953,25.110857009887695,24.997819900512695,122.62915802001953,24.560073852539062,87.97874450683594,26.075363159179688,716.030029296875,733.0700073242188,158.33399963378906,116.85460662841797,87.44380950927734,115.72918701171875,29.256275177001953,89.44963073730469,53.818153381347656,64.64945220947266,12.628107070922852,37.33340072631836,73.43421936035156,197.59022521972656,68.44432067871094,88.60973358154297,106.95028686523438,39.06314468383789,68.01029205322266,33.02666091918945,129.3083038330078,51.79500198364258,46.422176361083984,26.470478057861328,48.736000061035156,95.715087890625,114.97000122070312,57.119384765625,29.171768188476562,33.18483352661133,52.943214416503906,88.40543365478516,27.57027244567871,68.98519134521484,76.23783874511719,33.040000915527344,40.259239196777344,115.85897064208984,54.37824249267578,58.68792724609375,40.083438873291016,163.00070190429688,28.52256965637207,64.52388000488281,47.0493278503418,104.29329681396484,69.46987915039062,82.8658218383789,36.737510681152344,83.72547149658203,72.09013366699219,38.953346252441406,75.70501708984375,45.44060134887695,59.10664749145508,65.11454772949219,1923.6700439453125,2.1579999923706055
2016-01-12,94.408447265625,48.43418884277344,38.634578704833984,94.54875946044922,285.7176513671875,53.68489074707031,55.17182540893555,137.77114868164062,617.8900146484375,61.080684661865234,120.21910858154297,14.49766731262207,278.6700134277344,35.49675750732422,1148.9200439453125,289.0531921386719,58.089515686035156,44.47940444946289,55.0911750793457,106.8499984741211,175.32000732421875,58.785552978515625,25.38688850402832,61.0587043762207,37.53364562988281,144.6507568359375,22.811941146850586,88.3979263305664,72.10798645019531,44.79657745361328,96.8915786743164,61.94900894165039,27.393945693969727,39.48002624511719,24.65465545654297,10.627498626708984,99.37000274658203,130.49867248535156,25.55512237548828,25.519411087036133,123.7500228881836,24.611635208129883,88.52576446533203,26.11846351623535,726.0700073242188,745.3400268554688,158.31491088867188,118.44325256347656,88.11032104492188,115.4425277709961,29.822053909301758,90.06387329101562,53.937068939208984,65.50822448730469,12.128689765930176,37.8182487487793,73.55315399169922,199.98497009277344,68.99993133544922,89.45100402832031,107.63768768310547,39.47551727294922,71.21516418457031,33.24837875366211,129.6765594482422,51.725318908691406,46.884132385253906,26.470478057861328,49.18329620361328,95.53379821777344,116.58000183105469,57.493473052978516,29.6632022857666,33.593231201171875,52.726863861083984,88.5687255859375,27.50815773010254,68.84123229980469,76.16944885253906,33.08000183105469,40.652488708496094,117.14390563964844,55.92061233520508,58.60645294189453,39.74970245361328,161.97926330566406,28.480560302734375,65.36140441894531,47.343326568603516,106.84398651123047,70.82566833496094,84.07726287841797,37.43796920776367,83.72547149658203,72.90936279296875,38.81512451171875,76.45252990722656,46.59272384643555,58.55441665649414,66.4488296508789,1938.6800537109375,2.1019999980926514
2016-01-13,91.98119354248047,45.67647171020508,37.77186584472656,92.91069793701172,277.3207092285156,52.49003601074219,54.475711822509766,132.90130615234375,581.8099975585938,59.61057662963867,116.75616455078125,14.109423637390137,267.25,34.31101989746094,1098.9000244140625,280.7757568359375,56.1116943359375,42.87594223022461,54.45619583129883,100.66999816894531,167.99000549316406,58.34961700439453,24.77615737915039,59.05434799194336,36.368003845214844,140.99880981445312,22.13703727722168,86.93831634521484,71.38823699951172,43.76961898803711,94.04576110839844,62.322776794433594,26.684478759765625,38.622928619384766,24.30168914794922,10.089919090270996,95.44000244140625,126.21684265136719,24.927352905273438,24.997819900512695,121.16797637939453,24.267898559570312,84.36844635009766,26.282245635986328,700.5599975585938,719.5700073242188,151.894775390625,112.78540802001953,86.27114868164062,113.9397964477539,29.119394302368164,88.94540405273438,52.455081939697266,63.34340286254883,11.549010276794434,37.57582092285156,72.54684448242188,196.71856689453125,65.82630920410156,87.24996948242188,105.5113296508789,38.041587829589844,69.5475082397461,33.97684097290039,127.70642852783203,50.33156967163086,45.887760162353516,25.01022720336914,48.1209831237793,94.84479522705078,106.55999755859375,56.38081359863281,28.758956909179688,32.36803436279297,52.23392868041992,87.55257415771484,26.949119567871094,68.24736785888672,75.50257110595703,32.119998931884766,40.28545379638672,113.7768325805664,54.42526626586914,57.89130401611328,40.04921340942383,160.8705291748047,28.34613800048828,63.828941345214844,45.77226638793945,103.9601821899414,68.57843017578125,81.91657257080078,35.9540901184082,82.18047332763672,71.29044342041016,38.14127731323242,74.68651580810547,45.1140251159668,56.98977279663086,66.84645080566406,1890.280029296875,2.065999984741211
2016-01-14,93.99288940429688,48.69300842285156,38.54080581665039,95.36310577392578,288.7000427246094,53.07357406616211,54.95546340942383,139.93649291992188,593.0,60.02790069580078,117.74037170410156,14.194647789001465,280.57000732421875,34.88507080078125,1121.3800048828125,285.7441101074219,58.15360641479492,43.05621337890625,55.690391540527344,105.62000274658203,172.30999755859375,58.924678802490234,25.470172882080078,59.945167541503906,38.46615219116211,141.98130798339844,22.19102668762207,88.23163604736328,75.02214813232422,44.16926574707031,94.64739990234375,62.9051513671875,27.057559967041016,39.131832122802734,24.6281795501709,10.081649780273438,98.37000274658203,127.582763671875,25.864181518554688,25.654640197753906,121.1585693359375,24.972562789916992,84.80604553222656,26.11846351623535,714.719970703125,731.3900146484375,154.1876678466797,111.1317138671875,87.728271484375,115.45123291015625,29.876806259155273,90.65977478027344,53.24181365966797,63.2807731628418,12.46757984161377,37.60275650024414,75.51091766357422,198.5719757080078,65.83574676513672,88.73690032958984,106.88613891601562,38.76323699951172,69.67794799804688,34.44401168823242,129.97109985351562,50.7148551940918,46.920372009277344,25.252050399780273,49.490814208984375,95.8148193359375,107.05999755859375,56.12184143066406,28.179059982299805,33.04236602783203,55.34721374511719,86.92654418945312,27.605770111083984,68.51728820800781,75.13492584228516,32.869998931884766,41.709877014160156,113.98316955566406,55.469181060791016,58.55213928222656,40.34016799926758,162.08401489257812,28.816614151000977,62.73305892944336,45.9651985168457,105.41636657714844,70.0363540649414,82.4047622680664,36.80202102661133,82.34699249267578,71.97310638427734,38.763282775878906,76.49925231933594,45.93955993652344,58.038997650146484,69.91265106201172,1921.8399658203125,2.0980000495910645
2016-01-15,91.73563385009766,51.174068450927734,38.01567840576172,92.92005157470703,284.9551696777344,51.95281982421875,54.68267059326172,138.23709106445312,570.1799926757812,59.66748046875,114.48701477050781,13.692768096923828,273.3299865722656,33.67109680175781,1086.739990234375,273.3740539550781,57.48518753051758,40.29521942138672,54.214359283447266,103.05999755859375,165.0800018310547,58.757713317871094,24.9334659576416,58.32126998901367,36.70370864868164,139.39527893066406,21.255151748657227,86.74429321289062,73.44218444824219,43.096778869628906,89.67198181152344,62.653076171875,26.274700164794922,38.47114944458008,24.231096267700195,9.899699211120605,94.97000122070312,122.95219421386719,25.275039672851562,25.210317611694336,118.29486846923828,24.48273468017578,83.7302474975586,25.489212036132812,694.4500122070312,710.489990234375,148.66558837890625,110.76939392089844,86.41316986083984,112.94952392578125,27.15741539001465,88.92706298828125,52.180641174316406,61.903167724609375,11.593602180480957,37.26156997680664,74.32162475585938,198.17742919921875,65.23060607910156,86.7803955078125,105.56632995605469,37.7791633605957,68.8674087524414,34.111446380615234,127.67882537841797,49.82633972167969,46.32253646850586,24.154541015625,47.515281677246094,95.42498779296875,104.04000091552734,55.21061325073242,26.645774841308594,32.406028747558594,54.300960540771484,85.22087097167969,27.339555740356445,67.4645767211914,73.77552032470703,32.310001373291016,40.04077911376953,112.82018280029297,54.54751968383789,57.04035186767578,40.36583709716797,160.783203125,28.556175231933594,62.43903350830078,44.12770080566406,103.99823760986328,68.81985473632812,81.40126037597656,35.99095916748047,79.22000885009766,70.05187225341797,38.38317108154297,74.68651580810547,44.288490295410156,56.99897766113281,68.5518569946289,1880.3299560546875,2.0329999923706055
