,mean,std,VAR,skewness,kurtosis,Sharpe Ratio
risk neutral,14.424937138999923,22.04469528390828,-19.327464000475445,0.40720604222532925,3.1800372794842975,0.7490741260965249
0.25-0.25,6.137192648979578,7.259134119106857,-5.756027702334208,-0.16607862736712042,3.594740229079756,1.4769630278453891
0.50-0.25,2.639891546839735,3.6797268032252313,-3.980090054288482,-0.36977778206034007,3.441292742121549,1.265683158006448
0.75-0.25,0.5513956219352281,0.0001112274227740643,0.5512117842221897,-0.02899384470464397,3.8164661488036336,4881.242618288864
