,mean,std,VaR,skewness,kurtosis,Sharpe Ratio
Simulated,2.993356303742516,4.916135384136074,-4.92612076444874,0.21035687610916654,3.310754226870496,0.4967274185781301
True,2.812993115998367,4.7914165155736335,-4.670688932373878,0.24841246032419714,3.7072044326648648,0.4720140784353422
