YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1981;72077.01;47928.35;43430.01;40067.9;27619.03;25324;19458.87;17354.26;14303.81;26321.83;47896.08;63642.28
1982;84213.88;71909.26;85259.92;62428.88;39712.36;39552.75;38487.54;26962.54;22450.11;32933.12;38532.69;60795.26
1983;98239.32;118542.69;94244.14;74852.66;61302.97;81130.73;49652.21;33442.33;45842.46;51426.81;54262.88;72989.29
1984;64555.38;47626.61;39652.55;42785.49;35169.64;24145.72;20195.47;20638.69;22886.6;21215.67;22792.1;44335.09
1985;72950.98;70620.4;71335.51;52326.19;37162.41;28054.54;23486.83;19665.77;18904.29;18142.29;24029.92;32110.3
1986;53957.75;50034.14;47263.74;32913.93;31130.86;22726.21;19228.76;22455.74;17416.04;15945.98;17271.2;41561.28
1987;53046.27;59045.22;47293.6;41161.01;39983.01;34494.79;24159.73;18405.64;18858.4;21042.48;29198.04;48844.35
1988;47082.36;57525.75;62981.06;44123.86;35946.54;32289.77;21535.23;17890.93;15528.36;20583.84;26072.51;32901.12
1989;58093.71;61449.32;54515.96;36565.93;28366.52;23823.56;21521.31;25762.9;26579.42;20560.02;27553.75;63065.14
1990;80492.3;41790.65;43462.15;35065.17;29951.98;23255.09;24639.11;22246.87;26121.59;26845;24614.4;25343.75
1991;47948.51;65572.44;68127.72;68823.2;40186.78;29651.66;24871.76;19802.24;17212.57;26617.84;22967.04;35462.89
1992;60261.41;86433.67;55948.83;50669.57;50571.36;34628.41;26304.24;22481.12;28153.06;34139.15;46357.71;54242.97
1993;47993.66;68600.8;56153.76;47121.6;32563.19;31515.82;23268.23;20835.04;23376.16;29715.86;21313.7;35365.63
1994;64712.19;51672.08;61042.16;43602.65;32207.74;28821.56;24487.15;19030.91;15224.49;16112.45;23953.59;36427
1995;52583.97;83801.3;52448.52;47373.13;34805.16;25045.89;23871.07;16927.84;15583.27;25927.78;25345.95;34081.72
1996;55161.47;41190.08;54230.46;36659.8;26620.61;21037.21;18284.17;16072.49;21217.4;22152.14;36517.51;46049.51
1997;92429.3;73474.32;57821.91;45289.32;32791.29;39653.57;28291.17;21382.07;20427.43;25137.8;33685.87;50920.23
1998;43304.33;53990.6;55790.78;45618.72;35023.07;26762.9;20945.59;22745.14;23452.75;33871.69;28944.96;39745.84
1999;58739.64;50665.03;59436.74;34198.26;26037.19;24243.85;22369.94;15799.05;16741.52;13858.76;20108.6;31191.19
2000;55468.74;67756.3;62295.26;38268.72;25014.17;21432.57;19811.22;18981.85;30198.36;18798.82;29306.63;45301.54
2001;40817.11;40550.35;38312.37;28944.83;22937.9;20539.73;17389.8;14811.25;15672.8;22151.35;26133.38;40578.93
2002;63727.25;70939.21;49257.88;31516.06;28856.74;20990.06;18273.11;16522.04;17535.92;13284.47;22837.29;35212.74
2003;60146.67;61771.53;48780.76;42862.66;27047.64;22862.46;19522.99;15604.83;15052.75;15851.55;21655.14;33943.97
2004;47266.3;71467.42;62710.63;48390.75;37864.66;33766.52;27882.67;19421.44;15273.23;21942.79;26349.73;40568.42
2005;67074.83;59049.86;57188.43;37943.12;31422.07;28192.96;21450.9;17115.78;19793.78;23406.24;29076.36;56921.92
2006;46916.31;49152.53;59325.77;50501.94;29368.14;23389.44;20552.6;17471.55;18612.71;26217.27;29204.23;56973.22
2007;95400.9;91724.84;51971.26;35807.24;29439.74;24328.4;23607.35;19105.94;13365.51;13559.07;23931;30130.6
2008;38313.51;63801.6;64294.7;52671.46;36583.08;28371.8;21404.13;22977.11;16452.14;21131.23;26396.78;38489.84
2009;54999.69;66431.93;47939.56;49262.74;31676.46;25816.19;28296.36;24641.57;32081.91;37332.1;37931.62;62539.4
2010;71369.67;59988.07;54351.96;46138.46;29744.25;23648.83;20808.6;16121.9;13964.53;22115.41;29379.11;44712.54
2011;76664.21;50373.33;86775.98;55543.29;34050.76;28276.29;24527.67;24298.46;16749.78;25199.08;27410.53;44675.39
2012;73633.5;49701.05;37212.98;32317.51;30086.86;38658.88;26593.14;17342.35;14773.73;15185.71;23276.7;27895.03
2013;46999.32;56717.86;49482.34;51632.89;29348.76;38515.33;31033.18;19248.41;17116.17;24053;22846.94;40031.75
